id,"name","created_at","updated_at"
1,"日本","2018-02-09 09:40:00","2018-02-09 09:40:00"
2,"アメリカ","2018-02-09 09:40:00","2018-02-09 09:40:00"
3,"フランス","2018-02-09 09:40:00","2018-02-09 09:40:00"
4,"韓国","2018-02-09 09:40:00","2018-02-09 09:40:00"
5,"イギリス","2018-02-09 09:40:00","2018-02-09 09:40:00"
6,"インド","2018-02-09 09:40:00","2018-02-09 09:40:00"
7,"イタリア","2018-02-09 09:40:00","2018-02-09 09:40:00"
8,"ドイツ","2018-02-09 09:40:00","2018-02-09 09:40:00"
9,"スウェーデン","2018-02-09 09:40:00","2018-02-09 09:40:00"
10,"スペイン","2018-02-09 09:40:00","2018-02-09 09:40:00"
11,"中国","2018-02-09 09:40:00","2018-02-09 09:40:00"
12,"アイルランド","2018-02-09 09:40:00","2018-02-09 09:40:00"
13,"香港","2018-02-09 09:40:00","2018-02-09 09:40:00"
14,"フィンランド","2018-02-09 09:40:00","2018-02-09 09:40:00"
15,"台湾","2018-02-09 09:40:00","2018-02-09 09:40:00"
16,"カナダ","2018-02-09 09:40:00","2018-02-09 09:40:00"
17,"ロシア","2018-02-09 09:40:00","2018-02-09 09:40:00"
18,"西ドイツ","2018-02-09 09:40:00","2018-02-09 09:40:00"
19,"オーストラリア","2018-02-09 09:40:00","2018-02-09 09:40:00"
20,"ソ連","2018-02-09 09:40:00","2018-02-09 09:40:00"
21,"ベルギー","2018-02-09 09:40:00","2018-02-09 09:40:00"
22,"オランダ","2018-02-09 09:40:00","2018-02-09 09:40:00"
23,"デンマーク","2018-02-09 09:40:00","2018-02-09 09:40:00"
24,"スイス","2018-02-09 09:40:00","2018-02-09 09:40:00"
25,"ポーランド","2018-02-09 09:40:00","2018-02-09 09:40:00"
26,"メキシコ","2018-02-09 09:40:00","2018-02-09 09:40:00"
27,"タイ","2018-02-09 09:40:00","2018-02-09 09:40:00"
28,"ブラジル","2018-02-09 09:40:00","2018-02-09 09:40:00"
29,"オーストリア","2018-02-09 09:40:00","2018-02-09 09:40:00"
30,"アルゼンチン","2018-02-09 09:40:00","2018-02-09 09:40:00"
31,"チェコ","2018-02-09 09:40:00","2018-02-09 09:40:00"
32,"ノルウェー","2018-02-09 09:40:00","2018-02-09 09:40:00"
33,"イスラエル","2018-02-09 09:40:00","2018-02-09 09:40:00"
34,"イラン","2018-02-09 09:40:00","2018-02-09 09:40:00"
35,"ハンガリー","2018-02-09 09:40:00","2018-02-09 09:40:00"
36,"ポルトガル","2018-02-09 09:40:00","2018-02-09 09:40:00"
37,"トルコ","2018-02-09 09:40:00","2018-02-09 09:40:00"
38,"フィリピン","2018-02-09 09:40:00","2018-02-09 09:40:00"
39,"チェコスロバキア","2018-02-09 09:40:00","2018-02-09 09:40:00"
40,"南アフリカ","2018-02-09 09:40:00","2018-02-09 09:40:00"
41,"ニュージーランド","2018-02-09 09:40:00","2018-02-09 09:40:00"
42,"インドネシア","2018-02-09 09:40:00","2018-02-09 09:40:00"
43,"ギリシャ","2018-02-09 09:40:00","2018-02-09 09:40:00"
44,"ユーゴスラビア","2018-02-09 09:40:00","2018-02-09 09:40:00"
45,"ルーマニア","2018-02-09 09:40:00","2018-02-09 09:40:00"
46,"ルクセンブルク","2018-02-09 09:40:00","2018-02-09 09:40:00"
47,"シンガポール","2018-02-09 09:40:00","2018-02-09 09:40:00"
48,"チリ","2018-02-09 09:40:00","2018-02-09 09:40:00"
49,"エストニア","2018-02-09 09:40:00","2018-02-09 09:40:00"
50,"アイスランド","2018-02-09 09:40:00","2018-02-09 09:40:00"
51,"ブルガリア","2018-02-09 09:40:00","2018-02-09 09:40:00"
52,"マレーシア","2018-02-09 09:40:00","2018-02-09 09:40:00"
53,"キューバ","2018-02-09 09:40:00","2018-02-09 09:40:00"
54,"ベトナム","2018-02-09 09:40:00","2018-02-09 09:40:00"
55,"コロンビア","2018-02-09 09:40:00","2018-02-09 09:40:00"
56,"クロアチア","2018-02-09 09:40:00","2018-02-09 09:40:00"
57,"ペルー","2018-02-09 09:40:00","2018-02-09 09:40:00"
58,"セルビア","2018-02-09 09:40:00","2018-02-09 09:40:00"
59,"カンボジア","2018-02-09 09:40:00","2018-02-09 09:40:00"
60,"カタール","2018-02-09 09:40:00","2018-02-09 09:40:00"
61,"エジプト","2018-02-09 09:40:00","2018-02-09 09:40:00"
62,"リトアニア","2018-02-09 09:40:00","2018-02-09 09:40:00"
63,"スロバキア","2018-02-09 09:40:00","2018-02-09 09:40:00"
64,"ウクライナ","2018-02-09 09:40:00","2018-02-09 09:40:00"
65,"パレスチナ","2018-02-09 09:40:00","2018-02-09 09:40:00"
66,"グルジア","2018-02-09 09:40:00","2018-02-09 09:40:00"
67,"カザフスタン","2018-02-09 09:40:00","2018-02-09 09:40:00"
68,"ラトビア","2018-02-09 09:40:00","2018-02-09 09:40:00"
69,"スロベニア","2018-02-09 09:40:00","2018-02-09 09:40:00"
70,"レバノン","2018-02-09 09:40:00","2018-02-09 09:40:00"
71,"モロッコ","2018-02-09 09:40:00","2018-02-09 09:40:00"
72,"東ドイツ","2018-02-09 09:40:00","2018-02-09 09:40:00"
73,"イラク","2018-02-09 09:40:00","2018-02-09 09:40:00"
74,"アラブ首長国連邦","2018-02-09 09:40:00","2018-02-09 09:40:00"
75,"ベネズエラ","2018-02-09 09:40:00","2018-02-09 09:40:00"
76,"北朝鮮","2018-02-09 09:40:00","2018-02-09 09:40:00"
77,"ボスニア・ヘルツェゴビナ","2018-02-09 09:40:00","2018-02-09 09:40:00"
78,"ボリビア","2018-02-09 09:40:00","2018-02-09 09:40:00"
79,"ウルグアイ","2018-02-09 09:40:00","2018-02-09 09:40:00"
80,"チュニジア","2018-02-09 09:40:00","2018-02-09 09:40:00"
81,"モンゴル","2018-02-09 09:40:00","2018-02-09 09:40:00"
82,"アルジェリア","2018-02-09 09:40:00","2018-02-09 09:40:00"
83,"ネパール","2018-02-09 09:40:00","2018-02-09 09:40:00"
84,"セネガル","2018-02-09 09:40:00","2018-02-09 09:40:00"
85,"ミャンマー","2018-02-09 09:40:00","2018-02-09 09:40:00"
86,"ナイジェリア","2018-02-09 09:40:00","2018-02-09 09:40:00"
87,"アフガニスタン","2018-02-09 09:40:00","2018-02-09 09:40:00"
88,"パキスタン","2018-02-09 09:40:00","2018-02-09 09:40:00"
89,"プエルトリコ","2018-02-09 09:40:00","2018-02-09 09:40:00"
90,"スリランカ","2018-02-09 09:40:00","2018-02-09 09:40:00"
91,"ジャマイカ","2018-02-09 09:40:00","2018-02-09 09:40:00"
92,"シリア","2018-02-09 09:40:00","2018-02-09 09:40:00"
93,"パナマ","2018-02-09 09:40:00","2018-02-09 09:40:00"
94,"マケドニア","2018-02-09 09:40:00","2018-02-09 09:40:00"
95,"ヨルダン","2018-02-09 09:40:00","2018-02-09 09:40:00"
96,"キルギス","2018-02-09 09:40:00","2018-02-09 09:40:00"
97,"バングラデシュ","2018-02-09 09:40:00","2018-02-09 09:40:00"
98,"ケニア","2018-02-09 09:40:00","2018-02-09 09:40:00"
99,"エチオピア","2018-02-09 09:40:00","2018-02-09 09:40:00"
100,"ブルキナファソ","2018-02-09 09:40:00","2018-02-09 09:40:00"
101,"コスタリカ","2018-02-09 09:40:00","2018-02-09 09:40:00"
102,"ベラルーシ","2018-02-09 09:40:00","2018-02-09 09:40:00"
103,"アルメニア","2018-02-09 09:40:00","2018-02-09 09:40:00"
104,"タジキスタン","2018-02-09 09:40:00","2018-02-09 09:40:00"
105,"ジョージア","2018-02-09 09:40:00","2018-02-09 09:40:00"
106,"モナコ","2018-02-09 09:40:00","2018-02-09 09:40:00"
107,"ブータン","2018-02-09 09:40:00","2018-02-09 09:40:00"
108,"ハイチ","2018-02-09 09:40:00","2018-02-09 09:40:00"
109,"ニカラグア","2018-02-09 09:40:00","2018-02-09 09:40:00"
110,"ドミニカ","2018-02-09 09:40:00","2018-02-09 09:40:00"
111,"ジンバブエ","2018-02-09 09:40:00","2018-02-09 09:40:00"
112,"カメルーン","2018-02-09 09:40:00","2018-02-09 09:40:00"
113,"エクアドル","2018-02-09 09:40:00","2018-02-09 09:40:00"
114,"リヒテンシュタイン","2018-02-09 09:40:00","2018-02-09 09:40:00"
115,"アルバニア","2018-02-09 09:40:00","2018-02-09 09:40:00"
116,"ナミビア","2018-02-09 09:40:00","2018-02-09 09:40:00"
117,"ルワンダ","2018-02-09 09:40:00","2018-02-09 09:40:00"
118,"モンテネグロ","2018-02-09 09:40:00","2018-02-09 09:40:00"
119,"タンザニア","2018-02-09 09:40:00","2018-02-09 09:40:00"
120,"コートジボワール","2018-02-09 09:40:00","2018-02-09 09:40:00"
121,"コンゴ","2018-02-09 09:40:00","2018-02-09 09:40:00"
122,"コソボ","2018-02-09 09:40:00","2018-02-09 09:40:00"
123,"クウェート","2018-02-09 09:40:00","2018-02-09 09:40:00"
124,"ウガンダ","2018-02-09 09:40:00","2018-02-09 09:40:00"
125,"マリ","2018-02-09 09:40:00","2018-02-09 09:40:00"
126,"ボツワナ","2018-02-09 09:40:00","2018-02-09 09:40:00"
127,"サウジアラビア","2018-02-09 09:40:00","2018-02-09 09:40:00"
128,"チャド","2018-02-09 09:40:00","2018-02-09 09:40:00"
129,"ラオス","2018-02-09 09:40:00","2018-02-09 09:40:00"
130,"ソマリア","2018-02-09 09:40:00","2018-02-09 09:40:00"
131,"リベリア","2018-02-09 09:40:00","2018-02-09 09:40:00"
132,"リビア","2018-02-09 09:40:00","2018-02-09 09:40:00"
133,"マルタ共和国","2018-02-09 09:40:00","2018-02-09 09:40:00"
134,"スーダン","2018-02-09 09:40:00","2018-02-09 09:40:00"
135,"グアテマラ","2018-02-09 09:40:00","2018-02-09 09:40:00"
136,"ギニア","2018-02-09 09:40:00","2018-02-09 09:40:00"
137,"ガーナ","2018-02-09 09:40:00","2018-02-09 09:40:00"
138,"セルビア・モンテネグロ","2018-02-09 09:40:00","2018-02-09 09:40:00"
139,"ウズベキスタン","2018-02-09 09:40:00","2018-02-09 09:40:00"
140,"マダガスカル","2018-02-09 09:40:00","2018-02-09 09:40:00"
141,"アンゴラ","2018-02-09 09:40:00","2018-02-09 09:40:00"
142,"モザンビーク","2018-02-09 09:40:00","2018-02-09 09:40:00"
143,"トリニダード・トバゴ","2018-02-09 09:40:00","2018-02-09 09:40:00"
144,"マーシャル諸島","2018-02-09 09:40:00","2018-02-09 09:40:00"
145,"フィジー","2018-02-09 09:40:00","2018-02-09 09:40:00"
146,"ミクロネシア","2018-02-09 09:40:00","2018-02-09 09:40:00"
147,"モルドバ","2018-02-09 09:40:00","2018-02-09 09:40:00"
148,"ベナン","2018-02-09 09:40:00","2018-02-09 09:40:00"
149,"ブルネイ","2018-02-09 09:40:00","2018-02-09 09:40:00"
150,"バハマ","2018-02-09 09:40:00","2018-02-09 09:40:00"
151,"ニジェール","2018-02-09 09:40:00","2018-02-09 09:40:00"
152,"キプロス","2018-02-09 09:40:00","2018-02-09 09:40:00"
153,"ガボン","2018-02-09 09:40:00","2018-02-09 09:40:00"
154,"パラグアイ","2018-02-09 09:40:00","2018-02-09 09:40:00"
155,"パプアニューギニア","2018-02-09 09:40:00","2018-02-09 09:40:00"
156,"タスマニア","2018-02-09 09:40:00","2018-02-09 09:40:00"
157,"アゼルバイジャン","2018-02-09 09:40:00","2018-02-09 09:40:00"
