id,movie_id,genre_id,"created_at","updated_at"
3,163,30,"2018-02-21 09:00:11","2018-02-21 09:00:11"
4,163,31,"2018-02-21 09:00:11","2018-02-21 09:00:11"
5,164,29,"2018-02-21 09:00:19","2018-02-21 09:00:19"
6,165,34,"2018-02-21 09:00:25","2018-02-21 09:00:25"
7,165,32,"2018-02-21 09:00:25","2018-02-21 09:00:25"
8,166,30,"2018-02-21 09:00:32","2018-02-21 09:00:32"
9,166,32,"2018-02-21 09:00:32","2018-02-21 09:00:32"
10,168,30,"2018-02-21 09:00:43","2018-02-21 09:00:43"
11,168,36,"2018-02-21 09:00:43","2018-02-21 09:00:43"
12,171,34,"2018-02-21 09:01:06","2018-02-21 09:01:06"
13,175,30,"2018-02-21 09:01:31","2018-02-21 09:01:31"
14,175,33,"2018-02-21 09:01:31","2018-02-21 09:01:31"
15,176,34,"2018-02-21 09:01:42","2018-02-21 09:01:42"
16,176,35,"2018-02-21 09:01:42","2018-02-21 09:01:42"
17,177,30,"2018-02-21 09:01:50","2018-02-21 09:01:50"
18,178,33,"2018-02-21 09:02:05","2018-02-21 09:02:05"
19,178,31,"2018-02-21 09:02:05","2018-02-21 09:02:05"
20,180,37,"2018-02-21 09:02:22","2018-02-21 09:02:22"
21,185,35,"2018-02-21 09:03:08","2018-02-21 09:03:08"
22,186,34,"2018-02-21 09:03:23","2018-02-21 09:03:23"
23,187,34,"2018-02-21 09:03:33","2018-02-21 09:03:33"
24,187,36,"2018-02-21 09:03:33","2018-02-21 09:03:33"
25,189,31,"2018-02-21 09:03:54","2018-02-21 09:03:54"
26,190,39,"2018-02-21 09:04:13","2018-02-21 09:04:13"
27,192,45,"2018-02-21 09:04:42","2018-02-21 09:04:42"
28,194,30,"2018-02-21 09:04:56","2018-02-21 09:04:56"
29,195,33,"2018-02-21 09:05:08","2018-02-21 09:05:08"
30,195,31,"2018-02-21 09:05:08","2018-02-21 09:05:08"
31,196,30,"2018-02-21 09:05:22","2018-02-21 09:05:22"
32,196,46,"2018-02-21 09:05:22","2018-02-21 09:05:22"
33,197,38,"2018-02-21 09:05:33","2018-02-21 09:05:33"
34,198,30,"2018-02-21 09:05:48","2018-02-21 09:05:48"
35,163,30,"2018-02-21 09:09:17","2018-02-21 09:09:17"
36,163,31,"2018-02-21 09:09:17","2018-02-21 09:09:17"
37,164,29,"2018-02-21 09:09:24","2018-02-21 09:09:24"
38,165,34,"2018-02-21 09:09:29","2018-02-21 09:09:29"
39,165,32,"2018-02-21 09:09:29","2018-02-21 09:09:29"
40,166,30,"2018-02-21 09:09:38","2018-02-21 09:09:38"
41,166,32,"2018-02-21 09:09:38","2018-02-21 09:09:38"
42,168,30,"2018-02-21 09:09:55","2018-02-21 09:09:55"
43,168,36,"2018-02-21 09:09:55","2018-02-21 09:09:55"
44,171,34,"2018-02-21 09:10:11","2018-02-21 09:10:11"
45,175,30,"2018-02-21 09:10:29","2018-02-21 09:10:29"
46,175,33,"2018-02-21 09:10:29","2018-02-21 09:10:29"
47,177,30,"2018-02-21 09:10:42","2018-02-21 09:10:42"
48,176,34,"2018-02-21 09:10:52","2018-02-21 09:10:52"
49,176,35,"2018-02-21 09:10:52","2018-02-21 09:10:52"
50,178,33,"2018-02-21 09:11:15","2018-02-21 09:11:15"
51,178,31,"2018-02-21 09:11:15","2018-02-21 09:11:15"
52,180,37,"2018-02-21 09:11:24","2018-02-21 09:11:24"
53,185,35,"2018-02-21 09:12:13","2018-02-21 09:12:13"
54,186,34,"2018-02-21 09:12:30","2018-02-21 09:12:30"
55,187,34,"2018-02-21 09:12:39","2018-02-21 09:12:39"
56,187,36,"2018-02-21 09:12:39","2018-02-21 09:12:39"
57,189,31,"2018-02-21 09:13:02","2018-02-21 09:13:02"
58,190,39,"2018-02-21 09:13:22","2018-02-21 09:13:22"
59,192,45,"2018-02-21 09:13:51","2018-02-21 09:13:51"
60,194,30,"2018-02-21 09:13:59","2018-02-21 09:13:59"
61,195,33,"2018-02-21 09:14:12","2018-02-21 09:14:12"
62,195,31,"2018-02-21 09:14:12","2018-02-21 09:14:12"
63,196,30,"2018-02-21 09:14:24","2018-02-21 09:14:24"
64,196,46,"2018-02-21 09:14:24","2018-02-21 09:14:24"
65,200,30,"2018-02-21 09:14:40","2018-02-21 09:14:40"
66,200,41,"2018-02-21 09:14:40","2018-02-21 09:14:40"
67,200,33,"2018-02-21 09:14:40","2018-02-21 09:14:40"
68,197,38,"2018-02-21 09:14:51","2018-02-21 09:14:51"
69,201,30,"2018-02-21 09:15:14","2018-02-21 09:15:14"
70,202,34,"2018-02-21 09:15:29","2018-02-21 09:15:29"
71,203,41,"2018-02-21 09:15:48","2018-02-21 09:15:48"
72,204,30,"2018-02-21 09:16:05","2018-02-21 09:16:05"
73,205,37,"2018-02-21 09:16:23","2018-02-21 09:16:23"
74,206,37,"2018-02-21 09:16:36","2018-02-21 09:16:36"
75,206,32,"2018-02-21 09:16:36","2018-02-21 09:16:36"
76,207,30,"2018-02-21 09:16:49","2018-02-21 09:16:49"
77,208,30,"2018-02-21 09:17:04","2018-02-21 09:17:04"
78,209,37,"2018-02-21 09:17:18","2018-02-21 09:17:18"
79,209,32,"2018-02-21 09:17:18","2018-02-21 09:17:18"
80,210,44,"2018-02-21 09:17:30","2018-02-21 09:17:30"
81,211,34,"2018-02-21 09:17:43","2018-02-21 09:17:43"
82,211,32,"2018-02-21 09:17:43","2018-02-21 09:17:43"
83,211,47,"2018-02-21 09:17:43","2018-02-21 09:17:43"
84,212,30,"2018-02-21 09:17:57","2018-02-21 09:17:57"
85,213,45,"2018-02-21 09:18:12","2018-02-21 09:18:12"
86,213,40,"2018-02-21 09:18:12","2018-02-21 09:18:12"
87,214,30,"2018-02-21 09:18:24","2018-02-21 09:18:24"
88,215,30,"2018-02-21 09:18:39","2018-02-21 09:18:39"
89,216,44,"2018-02-21 09:18:51","2018-02-21 09:18:51"
90,217,44,"2018-02-21 09:19:06","2018-02-21 09:19:06"
91,218,44,"2018-02-21 09:19:24","2018-02-21 09:19:24"
92,219,30,"2018-02-21 09:19:39","2018-02-21 09:19:39"
93,220,41,"2018-02-21 09:19:54","2018-02-21 09:19:54"
94,221,44,"2018-02-21 09:20:06","2018-02-21 09:20:06"
95,222,30,"2018-02-21 09:20:21","2018-02-21 09:20:21"
96,223,30,"2018-02-21 09:20:34","2018-02-21 09:20:34"
97,224,38,"2018-02-21 09:20:50","2018-02-21 09:20:50"
98,225,44,"2018-02-21 09:21:06","2018-02-21 09:21:06"
99,226,37,"2018-02-21 09:21:22","2018-02-21 09:21:22"
100,227,29,"2018-02-21 09:21:40","2018-02-21 09:21:40"
101,228,30,"2018-02-21 09:21:57","2018-02-21 09:21:57"
102,229,48,"2018-02-21 09:22:11","2018-02-21 09:22:11"
103,230,48,"2018-02-21 09:22:27","2018-02-21 09:22:27"
104,231,30,"2018-02-21 09:22:40","2018-02-21 09:22:40"
105,232,30,"2018-02-21 09:22:51","2018-02-21 09:22:51"
106,233,48,"2018-02-21 09:23:09","2018-02-21 09:23:09"
107,234,34,"2018-02-21 09:23:27","2018-02-21 09:23:27"
108,235,34,"2018-02-21 09:23:40","2018-02-21 09:23:40"
109,236,41,"2018-02-21 09:23:56","2018-02-21 09:23:56"
110,237,30,"2018-02-21 09:26:05","2018-02-21 09:26:05"
111,238,44,"2018-02-21 09:26:20","2018-02-21 09:26:20"
112,239,48,"2018-02-21 09:26:37","2018-02-21 09:26:37"
113,240,44,"2018-02-21 09:26:52","2018-02-21 09:26:52"
114,241,44,"2018-02-21 09:27:04","2018-02-21 09:27:04"
115,242,30,"2018-02-21 09:27:17","2018-02-21 09:27:17"
116,243,38,"2018-02-21 09:27:32","2018-02-21 09:27:32"
117,244,44,"2018-02-21 09:27:46","2018-02-21 09:27:46"
118,245,48,"2018-02-21 09:28:02","2018-02-21 09:28:02"
119,246,44,"2018-02-21 09:28:17","2018-02-21 09:28:17"
120,247,45,"2018-02-21 09:28:32","2018-02-21 09:28:32"
121,247,49,"2018-02-21 09:28:32","2018-02-21 09:28:32"
122,248,44,"2018-02-21 09:28:43","2018-02-21 09:28:43"
123,249,30,"2018-02-21 09:28:53","2018-02-21 09:28:53"
124,250,48,"2018-02-21 09:29:08","2018-02-21 09:29:08"
125,251,48,"2018-02-21 09:29:25","2018-02-21 09:29:25"
126,252,34,"2018-02-21 09:29:41","2018-02-21 09:29:41"
127,253,46,"2018-02-21 09:29:53","2018-02-21 09:29:53"
128,254,34,"2018-02-21 09:30:07","2018-02-21 09:30:07"
129,255,39,"2018-02-21 09:30:21","2018-02-21 09:30:21"
130,256,30,"2018-02-21 09:30:31","2018-02-21 09:30:31"
131,258,48,"2018-02-21 09:31:01","2018-02-21 09:31:01"
132,259,34,"2018-02-21 09:31:18","2018-02-21 09:31:18"
133,260,34,"2018-02-21 09:31:33","2018-02-21 09:31:33"
134,261,41,"2018-02-21 09:31:45","2018-02-21 09:31:45"
135,262,34,"2018-02-21 09:31:56","2018-02-21 09:31:56"
136,263,34,"2018-02-21 09:32:10","2018-02-21 09:32:10"
137,264,30,"2018-02-21 09:32:24","2018-02-21 09:32:24"
138,265,38,"2018-02-21 09:32:34","2018-02-21 09:32:34"
139,266,30,"2018-02-21 09:32:44","2018-02-21 09:32:44"
140,267,48,"2018-02-21 09:32:54","2018-02-21 09:32:54"
141,269,30,"2018-02-21 09:33:11","2018-02-21 09:33:11"
142,270,34,"2018-02-21 09:33:19","2018-02-21 09:33:19"
143,271,30,"2018-02-21 09:33:27","2018-02-21 09:33:27"
144,272,34,"2018-02-21 09:33:39","2018-02-21 09:33:39"
145,272,47,"2018-02-21 09:33:39","2018-02-21 09:33:39"
146,273,30,"2018-02-21 09:43:38","2018-02-21 09:43:38"
147,273,38,"2018-02-21 09:43:38","2018-02-21 09:43:38"
148,273,32,"2018-02-21 09:43:38","2018-02-21 09:43:38"
149,274,48,"2018-02-21 09:43:56","2018-02-21 09:43:56"
150,275,39,"2018-02-21 09:44:11","2018-02-21 09:44:11"
151,276,30,"2018-02-21 09:44:24","2018-02-21 09:44:24"
152,277,47,"2018-02-21 09:44:37","2018-02-21 09:44:37"
153,278,30,"2018-02-21 09:44:51","2018-02-21 09:44:51"
154,279,32,"2018-02-21 09:45:06","2018-02-21 09:45:06"
155,280,37,"2018-02-21 09:45:21","2018-02-21 09:45:21"
156,280,32,"2018-02-21 09:45:21","2018-02-21 09:45:21"
157,280,49,"2018-02-21 09:45:21","2018-02-21 09:45:21"
158,281,29,"2018-02-21 09:45:36","2018-02-21 09:45:36"
159,283,30,"2018-02-21 09:45:57","2018-02-21 09:45:57"
160,283,47,"2018-02-21 09:45:57","2018-02-21 09:45:57"
161,284,30,"2018-02-21 09:46:08","2018-02-21 09:46:08"
162,285,30,"2018-02-21 09:46:22","2018-02-21 09:46:22"
163,285,50,"2018-02-21 09:46:22","2018-02-21 09:46:22"
164,286,36,"2018-02-21 09:46:31","2018-02-21 09:46:31"
165,287,30,"2018-02-21 09:46:39","2018-02-21 09:46:39"
166,288,30,"2018-02-21 09:46:47","2018-02-21 09:46:47"
167,289,30,"2018-02-21 09:46:55","2018-02-21 09:46:55"
168,290,30,"2018-02-21 09:47:02","2018-02-21 09:47:02"
169,292,39,"2018-02-21 09:47:27","2018-02-21 09:47:27"
170,293,45,"2018-02-21 09:47:37","2018-02-21 09:47:37"
171,294,29,"2018-02-21 09:47:50","2018-02-21 09:47:50"
172,295,45,"2018-02-21 09:47:59","2018-02-21 09:47:59"
173,296,45,"2018-02-21 09:48:10","2018-02-21 09:48:10"
174,297,30,"2018-02-21 09:48:24","2018-02-21 09:48:24"
175,298,30,"2018-02-21 09:48:33","2018-02-21 09:48:33"
176,299,30,"2018-02-21 09:48:41","2018-02-21 09:48:41"
177,300,30,"2018-02-21 09:48:53","2018-02-21 09:48:53"
178,301,46,"2018-02-21 09:49:04","2018-02-21 09:49:04"
179,302,34,"2018-02-21 09:49:14","2018-02-21 09:49:14"
180,303,45,"2018-02-21 09:49:26","2018-02-21 09:49:26"
181,304,41,"2018-02-21 09:49:38","2018-02-21 09:49:38"
182,306,30,"2018-02-21 09:49:58","2018-02-21 09:49:58"
183,307,32,"2018-02-21 09:50:09","2018-02-21 09:50:09"
184,308,40,"2018-02-21 09:50:18","2018-02-21 09:50:18"
